Account Name,nsbi_sector,Deal Type,NSBI Financial Contribution (Commitment/Announced),Place Name,nsbi_county,PostalCode,fiscal year,Longitude,Latitude,New Georeferenced Column
Bereda Training Inc.,ICT (includes Digital Media),Business Development Program,15000,Halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
Iris Booth Incorporated,Business Services,Business Development Program,8000,Halifax,Halifax Regional Municipality,B3K2Z8,2018 - 2019,-63.581653,44.651755,POINT (-63.581653 44.651755)
Densitas Inc,ICT (includes Digital Media),Business Development Program,15000,Halifax,Halifax Regional Municipality,B3H3Z1,2018 - 2019,-63.59645,44.637136,POINT (-63.59645 44.637136)
Atlantic Sea Cucumber Ltd,Fish & Seafood Processing,Business Development Program,15000,Hacketts Cove,Halifax Regional Municipality,B3Z3K7,2018 - 2019,-63.757708,44.662435,POINT (-63.757708 44.662435)
Rx Security Inc.,Advanced Manufacturing,Business Development Program,15000,Bedford,Halifax Regional Municipality,B4A2T3,2018 - 2019,-63.646705,44.737949,POINT (-63.646705 44.737949)
Tangled Garden,Agri-food,Business Development Program,5700,Grand Pre,Kings,B0P1M0,2018 - 2019,-64.285653,45.095031,POINT (-64.285653 45.095031)
Advanced Glazings Ltd,Advanced Manufacturing,Business Development Program,15000,Sydney,Cape Breton,B1P6R7,2018 - 2019,-60.19332,46.143671,POINT (-60.19332 46.143671)
Benjamin Bridge Vineyards,Agri-food,Business Development Program,6000,Wolfville,Kings,B4P2R1,2018 - 2019,-64.403589,45.013938,POINT (-64.403589 45.013938)
Rotofast Inc,Advanced Manufacturing,Business Development Program,9075,Cape Breton,Cape Breton,B1P4L8,2018 - 2019,-60.183097,46.129316,POINT (-60.183097 46.129316)
Novate Systems Inc.,Engineering & Professional,Business Development Program,7000,Dartmouth,Halifax Regional Municipality,B3B1P7,2018 - 2019,-63.61637086,44.70527104,POINT (-63.61637086 44.70527104)
Safety Made Easy Basic Training,Business Services,Business Development Program,4250,New Glasgow,Pictou,B2H2B9,2018 - 2019,-62.655446,45.58971,POINT (-62.655446 45.58971)
Allendale Electronics Ltd,Advanced Manufacturing,Business Development Program,12306,Lockeport,Shelburne,B0T1L0,2018 - 2019,-65.12347,43.71839,POINT (-65.12347 43.71839)
Bend Beauty Inc.,Life Sciences,Business Development Program,15000,Halifax,Halifax Regional Municipality,B3J1C7,2018 - 2019,-63.577291,44.639639,POINT (-63.577291 44.639639)
MindSea Development Incorporated,ICT (includes Digital Media),Business Development Program,25000,Halifax,Halifax Regional Municipality,B3J3M8,2018 - 2019,-63.5727,44.647395,POINT (-63.5727 44.647395)
Just Us! Coffee Roasters Co-op Ltd,Agri-food,Business Development Program,2500,Wolfville,Kings,B4P2R3,2018 - 2019,-64.348807,45.068884,POINT (-64.348807 45.068884)
Site 2020 Inc.,ICT (includes Digital Media),Business Development Program,25000,Dartmouth,Halifax Regional Municipality,B3B1L3,2018 - 2019,-63.595664,44.704755,POINT (-63.595664 44.704755)
Athletigen Technologies Inc,Life Sciences,Business Development Program,25000,Halifax,Halifax Regional Municipality,B3J1G1,2018 - 2019,-63.57539255,44.64341829,POINT (-63.57539255 44.64341829)
Spring Loaded Technology Incorporated,Life Sciences,Business Development Program,25000,Halifax,Halifax Regional Municipality,B3K1P5,2018 - 2019,-63.596475,44.653518,POINT (-63.596475 44.653518)
Ashored Inc.,Oceans Technology,EDP2,20000,Bedford,Halifax Regional Municipality,B4A 2T3,2021 - 2022,-63.647648,44.737674,POINT (-63.647648 44.737674)
Boondoc Technologies Inc (The Rounds),ICT (includes Digital Media),Business Development Program,8063,Halifax,Halifax Regional Municipality,B3K4X5,2018 - 2019,-63.611268,44.662185,POINT (-63.611268 44.662185)
Dragon Veterinary Canada Limited,ICT (includes Digital Media),Business Development Program,15000,Bedford,Halifax Regional Municipality,B4A1H4,2018 - 2019,-63.674559,44.711731,POINT (-63.674559 44.711731)
The 7 Virtues Beauty Inc,Advanced Manufacturing,Business Development Program,15000,Halifax,Halifax Regional Municipality,B3H1B1,2018 - 2019,-63.574296,44.624597,POINT (-63.574296 44.624597)
902HipHop Inc.,ICT (includes Digital Media),Business Development Program,15000,Halifax,Halifax Regional Municipality,B3K4N7,2018 - 2019,-63.594931,44.654736,POINT (-63.594931 44.654736)
Sales Beacon,ICT (includes Digital Media),Business Development Program,6000,Brooklyn,Lunenburg,B0J1H0,2018 - 2019,-64.710851,44.055473,POINT (-64.710851 44.055473)
MetOcean Telematics Limited,Oceans Technology,Business Development Program,24750,Dartmouth,Halifax Regional Municipality,B3B1R9,2018 - 2019,-63.595049,44.699403,POINT (-63.595049 44.699403)
Peace by Chocolate Inc.,Agri-food,Business Development Program,15000,Antigonish,Antigonish,B2G2G8,2018 - 2019,-61.97936724,45.62856001,POINT (-61.97936724 45.62856001)
Blue Harbour Cheese Incorporated,Agri-food,Business Development Program,3750,Halifax,Halifax Regional Municipality,B3K4S7,2018 - 2019,-63.611255,44.665687,POINT (-63.611255 44.665687)
Novonix Battery Testing Services Inc,Energy,Business Development Program,15000,Bedford,Halifax Regional Municipality,B4B1H1,2018 - 2019,-63.710231,44.722456,POINT (-63.710231 44.722456)
InnovaSea Marine Systems Canada Inc DBA Vemco,ICT (includes Digital Media),Business Development Program,15000,Hammonds Plains,Halifax Regional Municipality,B4B1L9,2018 - 2019,-63.754376,44.700635,POINT (-63.754376 44.700635)
Current Studios Inc,ICT (includes Digital Media),Export Growth Program,8713,Halifax,Halifax Regional Municipality,B3J3X8,2018 - 2019,-63.576767,44.64669,POINT (-63.576767 44.64669)
Live Stor Sydney Limited,Business Services,Export Growth Program,1730,Sydney,Cape Breton,B1L1B8,2018 - 2019,-60.23984215,46.12185596,POINT (-60.23984215 46.12185596)
R&G Strategic Inc,Business Services,Export Growth Program,3375,Halifax,Halifax Regional Municipality,B3K5J7,2018 - 2019,-63.59056367,44.64722055,POINT (-63.59056367 44.64722055)
Scope Digital Media,Film Production,Export Growth Program,1718,Antigonish,Antigonish,B2G2K8,2018 - 2019,-62.101446,45.551584,POINT (-62.101446 45.551584)
Skye Larke Productions Limited,Film Production,Export Growth Program,5175,River John,Pictou,B0K1N0,2018 - 2019,-63.041939,45.747988,POINT (-63.041939 45.747988)
Talem Health Analytics Inc,Life Sciences,Export Growth Program,4150,Sydney,Cape Breton,B1R1L8,2018 - 2019,-60.218301,46.14076562,POINT (-60.218301 46.14076562)
Digital Cinema Labs Inc.,Film Production,Export Growth Program,1600,Halifax,Halifax Regional Municipality,B3H2V1,2018 - 2019,-63.573651,44.632871,POINT (-63.573651 44.632871)
Grey Lit Matters Inc,ICT (includes Digital Media),Export Growth Program,875,Halifax,Halifax Regional Municipality,B3P1A8,2018 - 2019,-63.608219,44.630968,POINT (-63.608219 44.630968)
