Region,Region Type,Year,Reliance on Government Transfers,Uncollected Taxes,3 Year Change in Tax Base,Reliance on Single Business or Instituion,Residential Tax Effort,Total # of Deficits,Total # of Budget Accuracy within + or - 5% ,Liquidity,Operating Reserve,Debt Service Cost,Outstanding Operating Debt,Undepreciated Assets,Combined Operating   Capital Reserves
Antigonish,Rural Municipality,2019-20,0.013,0.046,0.093,0.007,0.019,0,3,1.9,0.325,0.023,0,0.565,1.368
Argyle,Rural Municipality,2019-20,0.037,0.066,0.044,0.003,0.018,0,5,5.3,0.568,0.022,0,0.643,1.083
Barrington,Rural Municipality,2019-20,0.041,0.111,0.025,0.008,0.019,1,5,3.1,0.227,0.015,0,0.525,0.589
Chester,Rural Municipality,2019-20,0.01,0.089,0.078,0.003,0.036,0,0,5.5,1.102,0.108,0,0.402,1.133
Clare,Rural Municipality,2019-20,0.052,0.049,0.038,0.008,0.019,1,1,5,0.361,0.039,0,0.543,0.778
Colchester,Rural Municipality,2019-20,0.039,0.095,0.065,0.012,0.021,1,4,3.6,0.175,0.081,0.03,0.494,0.335
Cumberland,Rural Municipality,2019-20,0.09,0.095,0.038,0.022,0.025,1,5,1.6,0.175,0.051,0.175,0.721,0.476
Digby,Rural Municipality,2019-20,0.055,0.107,0.052,0.063,0.024,0,5,6.2,0.71,0.03,0,0.615,0.703
East Hants,Rural Municipality,2019-20,0.016,0.035,0.09,0.011,0.027,0,4,3.7,0.663,0.1,0.148,0.681,0.835
Guysborough,Rural Municipality,2019-20,0.012,0.068,0.009,0.159,0.014,0,2,5.1,0.888,0.067,0,0.596,1.012
Inverness,Rural Municipality,2019-20,0.061,0.104,0.095,0.014,0.018,0,5,4.2,0.739,0.017,0,0.529,1.005
Kings,Rural Municipality,2019-20,0.006,0.037,0.061,0.026,0.022,0,3,2.4,0.34,0.022,0,0.516,0.784
Lunenburg,Rural Municipality,2019-20,0.007,0.059,0.052,0.004,0.024,0,2,3.6,1.12,0.055,0,0.753,1.351
Pictou,Rural Municipality,2019-20,0.018,0.068,0.076,0.026,0.018,0,1,2.5,0.302,0,0.063,0.698,0.537
Richmond,Rural Municipality,2019-20,0.005,0.162,0.001,0.088,0.015,1,1,2.7,0.56,0.043,0.022,0.61,0.787
Shelburne,Rural Municipality,2019-20,0.013,0.021,0.046,0.012,0.023,0,2,8,0.677,0,0.014,0.465,1.356
St. Mary's,Rural Municipality,2019-20,0.072,0.093,0.049,0.098,0.015,0,5,4.1,0.666,0.065,0.017,0.554,0.803
Victoria,Rural Municipality,2019-20,0.018,0.121,0.075,0.075,0.024,0,5,2,0.369,0,0,0.636,0.676
West Hants,Rural Municipality,2019-20,0.028,0.123,0.082,0.009,0.025,0,3,1.5,0.187,0.071,0,0.696,0.463
Yarmouth,Rural Municipality,2019-20,0.021,0.073,0.057,0.009,0.027,0,2,3.9,0.572,0.043,0,0.6,0.82
CBRM,Regional Municipality,2018-19,0.124,0.145,0.088,0.017,0.028,0,5,1.2,0.061,0.104,0.082,0.599,0.087
HRM,Regional Municipality,2018-19,0.017,0.034,0.115,0.018,0.037,0,5,1.8,0.14,0.063,0.003,0.501,0.263
Queens,Regional Municipality,2018-19,0.078,0.083,0.056,0.04,0.028,0,5,7.8,0.522,0.022,0,0.661,0.711
Amherst,Town,2018-19,0.104,0.021,0.053,0.016,0.035,0,3,2.7,0.211,0.08,0,0.595,0.291
Annapolis Royal,Town,2018-19,0.14,0.034,0.081,0.189,0.045,0,3,4.1,0.193,0.009,0,0.515,0.467
Antigonish,Town,2018-19,0.028,0.071,0.012,0.017,0.033,1,5,1.3,0.12,0.081,0,0.554,0.314
Berwick,Town,2018-19,0.086,0.037,0.058,0.045,0.039,0,4,1.3,0.078,0.092,0.191,0.549,0.192
Bridgewater,Town,2018-19,0.062,0.076,0.046,0.049,0.046,1,4,2.2,0.239,0.064,0,0.497,0.338
Clark's Harbour,Town,2018-19,0.181,0.065,0.06,0.043,0.026,2,5,1.3,0.059,0.053,0,0.398,0.377
Digby,Town,2018-19,0.09,0.085,0.04,0.052,0.052,0,5,1.5,0.3,0.053,0,0.469,0.403
Kentville,Town,2018-19,0.03,0.024,0.04,0.024,0.038,0,5,2,0.081,0.102,0,0.584,1.172
Lockeport,Town,2018-19,0.169,0.113,0.048,0.142,0.036,2,2,1.9,0.123,0.071,0,0.33,0.235
Lunenburg,Town,2018-19,0.01,0.075,0.059,0.026,0.051,0,5,1.1,0.068,0.06,0,0.586,0.246
Mahone Bay,Town,2018-19,0.058,0.067,0.045,0.014,0.049,0,4,3.5,0.106,0.034,0,0.522,0.467
Middleton,Town,2018-19,0.117,0.025,0.031,0.011,0.047,0,2,2.6,0.097,0.095,0.007,0.525,0.304
Mulgrave,Town,2018-19,0.142,0.07,0.072,0.187,0.021,1,4,2.6,0.115,0.038,0,0.332,0.543
